Descrição,Preço Antigo,Preço Promocional,Origem,Mercado
Tempero Kitano Mais Sabor Saladas 60g,"De R$ 3,99 por","R$ 3,49 un",Web Scraping,Rena
Vinho Chileno Branco Seco Reservado Santa Carolina Sauvignon Blanc Valle Central Garrafa 750ml,"De R$ 31,35 por","R$ 26,99 un",Web Scraping,Rena
"Tempero Pó Para Feijão Cebola, Louro E Bacon Mais Sabor Kitano Pacote 60g 12 Unidades","De R$ 3,99 por","R$ 3,49 un",Web Scraping,Rena
Cappuccino Solúvel Baunilha 3 Corações Pote 200g,"De R$ 16,99 por","R$ 15,99 un",Web Scraping,Rena
Vinho Chileno Rosé Seco Reserva Casillero Del Diablo Garrafa 750ml,"De R$ 64,99 por","R$ 49,99 un",Web Scraping,Rena
Racao Vittamax 1kg Natural Peq. Porte,"De R$ 26,79 por","R$ 24,99 un",Web Scraping,Rena
Antitranspirante Aerossol Nivea Men Invisible For Black & White Fresh 150ml,"De R$ 14,99 por","R$ 12,99 un",Web Scraping,Rena
Bala Fini Beijos Morango 100g,"De R$ 8,99 por","R$ 6,99 un",Web Scraping,Rena
Cerveja Puro Malte Petra Origem Lata 350ml,"De R$ 3,89 por","R$ 3,18 un",Web Scraping,Rena
Vinho Del Grano Gold 1lt Niagara Tinto Seco,"De R$ 23,90 por","R$ 22,99 un",Web Scraping,Rena
Vinho Del Grano Gold 1lt Niagara Tinto Suave,"De R$ 23,90 por","R$ 22,99 un",Web Scraping,Rena
Água de Coco Esterilizada Puro Coco Caixa 1l,"De R$ 12,99 por","R$ 10,99 un",Web Scraping,Rena
Multi-Inseticida Aerossol Óleo de Citronela Sbp Frasco 380ml Embalagem Econômica,"De R$ 22,99 por","R$ 16,99 un",Web Scraping,Rena
Multi-Inseticida Aerossol Óleo de Eucalipto Sbp Frasco 380ml Embalagem Econômica,"De R$ 22,99 por","R$ 16,99 un",Web Scraping,Rena
Bisc.Rena Queijo Kg,Preço não disponível,"R$ 34,90 kg",Web Scraping,Rena
Água Saborizada Com Gás Frutas Vermelhas Crystal Sabores Garrafa 510ml,"De R$ 2,79 por","R$ 2,59 un",Web Scraping,Rena
Água Saborizada Com Gás Limão Crystal Sabores Garrafa 510ml,"De R$ 2,79 por","R$ 2,59 un",Web Scraping,Rena
Lombo Suino Recheado Rena,Preço não disponível,"R$ 31,98 kg",Web Scraping,Rena
Racao Kitekat Adulto Sache 70g Carne,"De R$ 3,19 por","R$ 2,69 un",Web Scraping,Rena
Racao Kitekat Adulto Sache 70g Frango,"De R$ 3,19 por","R$ 2,69 un",Web Scraping,Rena
Alimento Para Gatos Adultos Peixe Ao Molho Kitekat Sachê 70g,"De R$ 3,19 por","R$ 2,69 un",Web Scraping,Rena
Desodorante Aerossol Nivea Fresh Natural 150ml,"De R$ 14,99 por","R$ 12,99 un",Web Scraping,Rena
Espumante Brasileiro Branco Terroir Santa Colina Moscatel Campanha Garrafa 750ml,"De R$ 42,99 por","R$ 34,99 un",Web Scraping,Rena
Filtrado Doce Brasileiro Branco Del Sole Garrafa 660ml,Preço não disponível,"R$ 14,99 un",Web Scraping,Rena
Filtrado Doce Brasileiro Rosé Del Sole Garrafa 660ml,Preço não disponível,"R$ 14,99 un",Web Scraping,Rena
"Desinfetante Uso Geral Original Pinho Sol Frasco 1,75l Tamanho Econômico","De R$ 29,75 por","R$ 23,99 un",Web Scraping,Rena
File Peito Frango Avivar Desf.Temp. 400g,Preço não disponível,"R$ 13,59 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Ave Maria Renata Pacote 500g,"De R$ 4,19 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Padre Nosso Renata Pacote 500g,"De R$ 4,19 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Penne Renata Pacote 500g,"De R$ 4,19 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Parafuso Renata Pacote 500g,"De R$ 4,19 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Parafusinho Renata Pacote 500g,"De R$ 4,19 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Nhoque Renata Pacote 500g,"De R$ 4,19 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Caracolino Renata Pacote 500g,"De R$ 4,19 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Espaguetinho 9 Renata Pacote 500g,"De R$ 4,49 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Espaguete 8 Renata Pacote 500g,"De R$ 4,49 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Fidelinho 10 Renata Pacote 500g,"De R$ 4,49 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Linguine Renata Pacote 500g,"De R$ 4,49 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Fettuccine Renata Pacote 500g,"De R$ 4,49 por","R$ 3,89 un",Web Scraping,Rena
Iogurte Grego Apreciare Zero Lactose Trisabor 540g,"De R$ 13,29 por","R$ 6,99 un",Web Scraping,Rena
Vinho Chileno Tinto Meio Seco Reservado Santa Carolina Shiraz Valle Central Garrafa 750ml,"De R$ 31,35 por","R$ 26,99 un",Web Scraping,Rena
Vinho Chileno Tinto Meio Seco Reservado Santa Carolina Malbec Valle Central Garrafa 750ml,"De R$ 32,99 por","R$ 26,99 un",Web Scraping,Rena
Lava-Roupas Líquido Rosas & Sedução Uau Perfumes Frasco 3l,"De R$ 28,49 por","R$ 24,90 un",Web Scraping,Rena
Bombom Garoto Garotices Caixa 250g,"De R$ 12,89 por","R$ 11,98 un",Web Scraping,Rena
Massa Pastel Pastaninna 500g Media,Preço não disponível,"R$ 8,99 un",Web Scraping,Rena
Massa Pastel Pastaninna 500g Pequena,Preço não disponível,"R$ 8,99 un",Web Scraping,Rena
Massa Pastel Pastaninna 500g Grande,Preço não disponível,"R$ 8,99 un",Web Scraping,Rena
Massa Pastel Pastaninna 500g Rolo,Preço não disponível,"R$ 8,99 un",Web Scraping,Rena
Sorvete Toc Frio Pote 1l Flocos,"De R$ 17,99 por","R$ 12,99 un",Web Scraping,Rena
Sorvete Toc Frio Pote 1l Napoli,"De R$ 17,99 por","R$ 12,99 un",Web Scraping,Rena
Antitranspirante Aerossol Nivea Dry Comfort Plus 150ml,"De R$ 14,99 por","R$ 12,99 un",Web Scraping,Rena
Pizza Rena 460g Trad.Presunto,"De R$ 24,90 por","R$ 16,99 un",Web Scraping,Rena
Pizza Rena 460g Trad. Frango/Reque,"De R$ 24,90 por","R$ 16,99 un",Web Scraping,Rena
Hamburguer Sadia 56g Misto,"De R$ 1,39 por","R$ 1,09 un",Web Scraping,Rena
Vinho Argentino Branco Meio Seco Reserve Trivento White Malbec Mendoza Garrafa 750ml,"De R$ 79,90 por","R$ 49,99 un",Web Scraping,Rena
"Iogurte Parcialmente Desnatado Mamão, Maçã, Banana E Cereais Neston 3 Cereais Garrafa 850g","De R$ 16,98 por","R$ 11,99 un",Web Scraping,Rena
"Iogurte Parcialmente Desnatado Mamão, Maçã, Banana E Cereais Neston Frasco 170g","De R$ 4,29 por","R$ 2,99 un",Web Scraping,Rena
Vinho Chileno Santa Carolina Tinto Suave 750ml,"De R$ 32,99 por","R$ 26,99 un",Web Scraping,Rena
Vinho Chileno Sta Carolina Branco Suave 7ooml,"De R$ 32,99 por","R$ 26,99 un",Web Scraping,Rena
Batata Palha Tradicional Yoki Sachê 105g,"De R$ 9,99 por","R$ 8,98 un",Web Scraping,Rena
Batata Palha Extrafina Yoki Sachê 100g,"De R$ 9,29 por","R$ 8,98 un",Web Scraping,Rena
Batata Palha Extrafina Cebola E Salsa Yoki Sachê 100g,"De R$ 9,29 por","R$ 8,98 un",Web Scraping,Rena
Energético Jack Power Frutas Tropicais 2l,"De R$ 8,79 por","R$ 7,49 un",Web Scraping,Rena
Viinho Italiano Il Viaggio Rosso Tinto 750ml,"De R$ 39,90 por","R$ 36,99 un",Web Scraping,Rena
Viinho Italiano Il Viaggio Bianco Branco 750ml,"De R$ 39,90 por","R$ 36,99 un",Web Scraping,Rena
Arroz Amaral 5kg,"De R$ 26,49 por","R$ 25,99 un",Web Scraping,Rena
Chocolate Ao Leite Aerado Suflair Pacote 50g,"De R$ 5,49 por","R$ 4,98 un",Web Scraping,Rena
Milho Pipoca Codil 500g Premium,"De R$ 3,99 por","R$ 3,49 un",Web Scraping,Rena
Cerveja Puro Malte Petra Origem Lata 473ml,"De R$ 3,99 por","R$ 3,88 un",Web Scraping,Rena
Amendoim Codil 500g Branco,"De R$ 8,99 por","R$ 7,99 un",Web Scraping,Rena
Pizza Rena 460g Trad.Marguerita,"De R$ 24,90 por","R$ 16,99 un",Web Scraping,Rena
Pizza Rena 460g Trad.Mussarela,"De R$ 24,90 por","R$ 16,99 un",Web Scraping,Rena
Cerveja Lager Premium Puro Malte Heineken Lata 473ml,"De R$ 6,49 por","R$ 5,98 un",Web Scraping,Rena
Vinho Ital.Ricamo 750ml Bianco,"De R$ 40,75 por","R$ 35,99 un",Web Scraping,Rena
Vinho Ital.Ricamo 750ml Rosso,"De R$ 40,75 por","R$ 35,99 un",Web Scraping,Rena
Sorvete Toc Frio Pote 1l Chocolate,"De R$ 17,99 por","R$ 12,99 un",Web Scraping,Rena
Copo Termico Stanley 473ml S/Tampa Polar,"De R$ 149,90 por","R$ 134,99 un",Web Scraping,Rena
Copo Termico Stanley 473ml S/Tampa Guava,"De R$ 149,90 por","R$ 134,99 un",Web Scraping,Rena
Copo Termico Stanley 473ml S/Tampa Signal Orange,"De R$ 149,90 por","R$ 134,99 un",Web Scraping,Rena
Vinho Argentino Branco Seco Latitud 33º Sauvignon Blanc Mendonza Garrafa 750ml,Preço não disponível,"R$ 54,99 un",Web Scraping,Rena
Vinho Ital.Michelangelo 750ml Lambr Bianco,"De R$ 34,99 por","R$ 28,99 un",Web Scraping,Rena
Vinho Ital.Michelangelo 750ml Lambr Rosso,"De R$ 34,99 por","R$ 28,99 un",Web Scraping,Rena
Vinho Brasileiro Tinto Seco Reserva Aliança Cabernet Sauvignon Campanha Gaúcha Garrafa 750ml,"De R$ 36,99 por","R$ 32,99 un",Web Scraping,Rena
Refrigerante Guaraná Antarctica Garrafa 200ml,"De R$ 1,69 por","R$ 1,59 un",Web Scraping,Rena
Arroz Campineiro 5kg,Preço não disponível,"R$ 24,69 un",Web Scraping,Rena
Papel Higienico Cotton Neutro Folha Dupla Pague11 Leve 12 de 30m,"De R$ 20,79 por","R$ 16,98 un",Web Scraping,Rena
Bebida Energetica Jack Power 2lt S. Melancia,"De R$ 8,79 por","R$ 7,49 un",Web Scraping,Rena
Bebida Energetica Jack Power 2lt S. Coco/Acai,"De R$ 8,79 por","R$ 7,49 un",Web Scraping,Rena
Antitranspirante Aerossol Carvão Ativado Nivea Men Deep 150ml,"De R$ 14,99 por","R$ 12,99 un",Web Scraping,Rena
Hidratante Skala 400ml Oleo Argan,"De R$ 7,99 por","R$ 7,49 un",Web Scraping,Rena
Hidratante Skala 400ml Manteiga Karite,"De R$ 7,99 por","R$ 7,49 un",Web Scraping,Rena
Hidratante Skala 400ml Lavanda,"De R$ 7,99 por","R$ 7,49 un",Web Scraping,Rena
Hidratante Skala 400ml Erva Doce,"De R$ 7,99 por","R$ 7,49 un",Web Scraping,Rena
Hidratante Skala 400ml Aveia,"De R$ 7,99 por","R$ 7,49 un",Web Scraping,Rena
Hidratante Skala 400ml Amend.Doce,"De R$ 7,99 por","R$ 7,49 un",Web Scraping,Rena
Fio Dental Hillo Lv125/Pg100mt Ex.Fino,"De R$ 6,99 por","R$ 5,99 un",Web Scraping,Rena
Fio Dental Hillo 100mt,"De R$ 6,99 por","R$ 5,99 un",Web Scraping,Rena
Vinho Brasileiro Branco Seco Aliança Moscato Serra Gaúcha Garrafa 750ml,"De R$ 36,99 por","R$ 32,99 un",Web Scraping,Rena
Vinho Brasileiro Tinto Seco Reserva Aliança Merlot Campanha Gaúcha Garrafa 750ml,"De R$ 36,99 por","R$ 32,99 un",Web Scraping,Rena
Vinho Brasileiro Tinto Seco Aliança Pinot Noir Campanha Gaúcha Garrafa 750ml,"De R$ 36,99 por","R$ 32,99 un",Web Scraping,Rena
Vinho Brasileiro Tinto Seco Reserva Aliança Tannat Campanha Gaúcha Garrafa 750ml,"De R$ 36,99 por","R$ 32,99 un",Web Scraping,Rena
Espumante Contessa Milles.750ml Ex Dry,"De R$ 59,90 por","R$ 44,99 un",Web Scraping,Rena
Cerveja Lager Puro Malte Sem Glúten Amstel Ultra Garrafa 275ml,"De R$ 4,89 por","R$ 4,69 un",Web Scraping,Rena
Espumante Brasileiro Rosé Brut Santa Colina Chardonnay Pinot Noir Campanha Garrafa 750ml,"De R$ 42,99 por","R$ 34,99 un",Web Scraping,Rena
Copo Termico Invicta 500ml Matte Preto,"De R$ 99,90 por","R$ 89,99 un",Web Scraping,Rena
Copo Termico Invicta 500ml Matte Branco,"De R$ 99,90 por","R$ 89,99 un",Web Scraping,Rena
Copo Termico Invicta 500ml Inox Escovado,"De R$ 99,90 por","R$ 89,99 un",Web Scraping,Rena
Copo Termico Invicta 500ml Matte Vermelho,"De R$ 99,90 por","R$ 89,99 un",Web Scraping,Rena
Deterg.Liq.Odd 500ml Clear,Preço não disponível,"R$ 2,29 un",Web Scraping,Rena
Deterg Líquido Odd Neutro 500ml,Preço não disponível,"R$ 2,29 un",Web Scraping,Rena
Detergente Limppano Odd Coco 500ml,Preço não disponível,"R$ 2,29 un",Web Scraping,Rena
Lava Loucas Odd Original 500ml,Preço não disponível,"R$ 2,29 un",Web Scraping,Rena
Iogurte Morango + Vitamina de Frutas Nestlé Bandeja 510g 6 Unidades,"De R$ 6,99 por","R$ 5,99 un",Web Scraping,Rena
Iogurte Nestlé 510g Neston Morango Maçã E Banana 6 Unidades,"De R$ 9,39 por","R$ 7,99 un",Web Scraping,Rena
Vinho Del Grano 1lt Gold Bordo Rose Suave,"De R$ 23,90 por","R$ 22,99 un",Web Scraping,Rena
Espumante Brasileiro Rosé Santa Colina Moscatel Campanha Garrafa 750ml,"De R$ 42,99 por","R$ 34,99 un",Web Scraping,Rena
Fraldinha Supremo Dia A Dia Kg,"De R$ 46,99 por","R$ 42,98 kg",Web Scraping,Rena
Bebida Mista Alcoólica Gaseificada Limão Cabaré Ice Lata 269ml,Preço não disponível,"R$ 5,98 un",Web Scraping,Rena
Cerveja Puro Malte Itaipava Lata 473ml,"De R$ 3,89 por","R$ 3,58 un",Web Scraping,Rena
Copo Termico Stanley 473ml S/Tampa Lagoon,"De R$ 149,90 por","R$ 134,99 un",Web Scraping,Rena
Copo Termico Stanley 473ml S/Tampa Red,"De R$ 149,90 por","R$ 134,99 un",Web Scraping,Rena
Macarrão Instantâneo Lámen Galinha Caipira Renata Express Pacote 85g,"De R$ 1,39 por","R$ 1,29 un",Web Scraping,Rena
Macarrão Instantâneo Lámen Galinha Renata Express Pacote 85g,"De R$ 1,39 por","R$ 1,29 un",Web Scraping,Rena
Macarrão Instantâneo Lámen Carne Renata Express Pacote 85g,"De R$ 1,39 por","R$ 1,29 un",Web Scraping,Rena
Macarrão Instantâneo Renata Legumes 85g,"De R$ 1,39 por","R$ 1,29 un",Web Scraping,Rena
Macarrão Instantâneo Lámen Carne Com Tomate Renata Express Pacote 85g,"De R$ 1,39 por","R$ 1,29 un",Web Scraping,Rena
Vinho Português Branco Meio Seco Casal Garcia Azal Loureiro Trajadura Vinho Verde Garrafa 750ml,"De R$ 64,99 por","R$ 58,99 un",Web Scraping,Rena
Refrigerante Guaraná Zero Açúcar Antarctica Garrafa 200ml,Preço não disponível,"R$ 1,59 un",Web Scraping,Rena
Absorvente Mili Proteção Discreta Suave Com Abas 16 Pague 14,"De R$ 9,99 por","R$ 8,99 un",Web Scraping,Rena
Amaciante Uau Concentrado Rosas E Seducao 1l,Preço não disponível,"R$ 11,99 un",Web Scraping,Rena
Amaciante Uau 1lt Perf.Concentrado Flores Sonho,Preço não disponível,"R$ 11,99 un",Web Scraping,Rena
Vinho Ital.Negroamaro 750ml Puglia,"De R$ 49,99 por","R$ 46,99 un",Web Scraping,Rena
Vinho Ital.Italy`Swine 750ml Negro Amaro Primitivo,"De R$ 49,99 por","R$ 46,99 un",Web Scraping,Rena
Biscoito Leite Aymoré Pacote 345g,"De R$ 6,49 por","R$ 4,99 un",Web Scraping,Rena
Cerveja Laut Beer 473 Ml Pilsen,"De R$ 4,39 por","R$ 3,99 un",Web Scraping,Rena
Bacon Saudali 200g Cubos,"De R$ 7,99 por","R$ 6,99 un",Web Scraping,Rena
Amaciante de Roupa Concentrado Carinho E Conforto Uau Perfumes Frasco 1l,Preço não disponível,"R$ 11,99 un",Web Scraping,Rena
"Alimento Para Cães Adultos 12 Meses A 7 Anos Carne, Frango E Cereais Pedigree Pacote 900g","De R$ 29,98 por","R$ 24,99 un",Web Scraping,Rena
Ração Para Cães Pedigree Vital Pro Raças Pequenas 900g,"De R$ 25,99 por","R$ 24,99 un",Web Scraping,Rena
Alimento Para Cães Adultos 12 Meses A 7 Anos Carne E Vegetais Pedigree Pacote 900g,"De R$ 29,98 por","R$ 24,99 un",Web Scraping,Rena
Bebida Energetica Jack Power 2lt Tonica,"De R$ 8,89 por","R$ 7,49 un",Web Scraping,Rena
Biscoito Água E Sal Aymoré Pacote 345g,"De R$ 6,39 por","R$ 4,99 un",Web Scraping,Rena
Biscoito Cream Cracker Aymoré Pacote 345g,"De R$ 7,39 por","R$ 4,99 un",Web Scraping,Rena
Cerveja Pilsen Itaipava Lata 550ml,"De R$ 4,69 por","R$ 3,98 un",Web Scraping,Rena
Refresco Em Pó Uva Tang Pacote 18g,"De R$ 1,39 por","R$ 1,18 un",Web Scraping,Rena
Refresco Em Pó Tangerina Tang Pacote 18g,"De R$ 1,39 por","R$ 1,18 un",Web Scraping,Rena
Refresco Em Pó Manga Tang Pacote 18g,"De R$ 1,39 por","R$ 1,18 un",Web Scraping,Rena
Refresco Em Pó Limão Tang Pacote 18g,"De R$ 1,39 por","R$ 1,18 un",Web Scraping,Rena
Refresco Em Pó Guananá Tang Pacote 18g,"De R$ 1,39 por","R$ 1,18 un",Web Scraping,Rena
Refresco Em Pó Goiaba Tang Pacote 18g,"De R$ 1,39 por","R$ 1,18 un",Web Scraping,Rena
